@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute controlVar3 numeric
@attribute varObjetivo numeric

@data
0,-0.998478,-1,-1,-0.997643
0,-0.991598,-1,-0.8,-1.065866
0,-0.760561,-1,-0.6,0
0,-0.996935,-1,-0.4,0.13432
0,-0.990725,-1,-0.2,-0.761051
0,-0.997312,-1,0,-0.99658
0,-0.998478,-1,0.2,-1.009547
0,-1.001828,-1,0.4,-1.027367
0,-1.00234,-1,0.6,-1.065949
0,-1.003583,-1,0.8,-1.096436
0,-1.004938,-1,1,-1.303631
0,-1.009555,-0.8,-1,-0.994144
0,-0.996384,-0.8,-0.8,-0.672761
0,-0.991918,-0.8,-0.6,-0.877332
0,-0.996067,-0.8,-0.4,-0.961705
0,-0.997582,-0.8,-0.2,-0.989596
0,-0.997925,-0.8,0,-0.997922
0,-0.998484,-0.8,0.2,-1.015413
0,-1.00184,-0.8,0.4,-1.033462
0,-1.002375,-0.8,0.6,-1.066185
0,-1.003659,-0.8,0.8,-1.109794
0,-1.004705,-0.8,1,-1.136874
0,-1.006548,-0.6,-1,-0.500178
0,-0.98413,-0.6,-0.8,-0.533384
0,-0.990874,-0.6,-0.6,-0.644975
0,-0.993977,-0.6,-0.4,-0.843278
0,-0.996751,-0.6,-0.2,-0.943051
0,-0.998138,-0.6,0,-0.997314
0,-0.998355,-0.6,0.2,-1.004061
0,-1.00163,-0.6,0.4,-1.015165
0,-1.002161,-0.6,0.6,-1.066582
0,-1.003226,-0.6,0.8,-1.419111
0,-1.009137,-0.6,1,-1.423105
0,-1.010874,-0.4,-1,-0.994021
0,-0.996667,-0.4,-0.8,-0.949836
0,-0.996585,-0.4,-0.6,-0.940214
0,-0.997047,-0.4,-0.4,-0.89738
0,-0.997085,-0.4,-0.2,-0.981053
0,-0.998142,-0.4,0,-0.997243
0,-0.998446,-0.4,0.2,-1.005035
0,-1.001737,-0.4,0.4,-1.021587
0,-1.002156,-0.4,0.6,-1.144168
0,-1.004233,-0.4,0.8,-1.162846
0,-1.005306,-0.4,1,-1.03319
0,-1.002952,-0.2,-1,-0.996476
0,-0.998209,-0.2,-0.8,-0.995776
0,-0.998282,-0.2,-0.6,-0.994897
0,-0.998243,-0.2,-0.4,-0.983529
0,-0.998116,-0.2,-0.2,-0.996731
0,-0.998462,-0.2,0,-0.997403
0,-0.998545,-0.2,0.2,-1.003371
0,-0.998267,-0.2,0.4,-1.003095
0,-0.998812,-0.2,0.6,-1.009821
0,-1.001916,-0.2,0.8,-1.022635
0,-1.002208,-0.2,1,-1.078321
0,-1.00324,0,-1,-1.003238
0,-0.998426,0,-0.8,-0.99843
0,-0.998383,0,-0.6,-0.998428
0,-0.998449,0,-0.4,-0.998444
0,-0.998468,0,-0.2,-0.998481
0,-0.998413,0,0,-0.998471
0,-0.998353,0,0.2,-0.998462
0,-0.998443,0,0.4,-0.998448
0,-0.998457,0,0.6,-0.998462
0,-0.998326,0,0.8,-0.998462
0,-0.998317,0,1,-0.998469
0,-0.9983,0.2,-1,-1.00362
0,-1.001842,0.2,-0.8,-1.063899
0,-1.00264,0.2,-0.6,-1.022007
0,-1.002024,0.2,-0.4,-1.012469
0,-1.00177,0.2,-0.2,-1.003266
0,-0.998383,0.2,0,-0.999478
0,-0.998451,0.2,0.2,-0.997315
0,-0.998344,0.2,0.4,-0.994768
0,-0.99831,0.2,0.6,-0.991101
0,-0.998051,0.2,0.8,-0.976346
0,-0.997676,0.2,1,-0.993057
0,-0.998099,0.4,-1,-1.021306
0,-1.00352,0.4,-0.8,-1.100732
0,-1.004465,0.4,-0.6,-1.012692
0,-1.001984,0.4,-0.4,-1.00898
0,-1.001955,0.4,-0.2,-1.008181
0,-1.001756,0.4,0,-1.000249
0,-0.998445,0.4,0.2,-0.988878
0,-0.998225,0.4,0.4,-0.956779
0,-0.997503,0.4,0.6,-0.98401
0,-0.997743,0.4,0.8,-0.939816
0,-0.996303,0.4,1,-0.405202
0,-0.990617,0.6,-1,-1.226778
0,-1.009821,0.6,-0.8,-1.043156
0,-1.00264,0.6,-0.6,-1.031007
0,-1.002702,0.6,-0.4,-1.040553
0,-1.002359,0.6,-0.2,-1.05097
0,-1.002082,0.6,0,-1.000596
0,-0.998346,0.6,0.2,-0.986312
0,-0.998022,0.6,0.4,-0.993386
0,-0.998137,0.6,0.6,-0.820894
0,-0.995285,0.6,0.8,-0.863256
0,-0.994981,0.6,1,-0.879916
0,-0.994119,0.8,-1,-1.116518
0,-1.007053,0.8,-0.8,-1.051533
0,-1.003005,0.8,-0.6,-1.403471
0,-1.005679,0.8,-0.4,-1.114476
0,-1.002874,0.8,-0.2,-1.015181
0,-1.00173,0.8,0,-1.000276
0,-0.99846,0.8,0.2,-0.94567
0,-0.997906,0.8,0.4,-0.921449
0,-0.997056,0.8,0.6,-0.806313
0,-0.995411,0.8,0.8,-0.852161
0,-0.995063,0.8,1,-0.858539
0,-0.994161,1,-1,-1.052686
0,-1.004733,1,-0.8,-1.204983
0,-1.005662,1,-0.6,-1.024776
0,-1.002258,1,-0.4,-1.018035
0,-1.002,1,-0.2,-1.034667
0,-1.00214,1,0,-1.000457
0,-0.998205,1,0.2,-0.981098
0,-0.997942,1,0.4,-0.925298
0,-0.997041,1,0.6,-0.853883
0,-0.995887,1,0.8,-0.235453
0,-0.99057,1,1,-0.379662
0,-0.974382,-1,-1,0
0,-0.962492,-1,-0.8,-0.414834
0,-0.97664,-1,-0.6,-0.308024
0,-0.978357,-1,-0.4,-0.783392
0,-0.987253,-1,-0.2,-0.926126
0,-0.991628,-1,0,-0.991135
0,-0.994805,-1,0.2,-1.028896
0,-0.997146,-1,0.4,-1.05459
0,-0.99812,-1,0.6,-1.117927
0,-0.998575,-1,0.8,-1.030028
0,-0.998189,-1,1,-1.473749
0,-1.004217,-0.8,-1,-0.846343
0,-0.977317,-0.8,-0.8,-0.83404
0,-0.984149,-0.8,-0.6,-0.820214
0,-0.984963,-0.8,-0.4,-0.963113
0,-0.992044,-0.8,-0.2,-0.934468
0,-0.9915,-0.8,0,-0.990389
0,-0.994618,-0.8,0.2,-1.003362
0,-0.99642,-0.8,0.4,-1.009351
0,-0.997299,-0.8,0.6,-1.220759
0,-1.00163,-0.8,0.8,-1.192501
0,-1.00165,-0.8,1,-1.421293
0,-1.003148,-0.6,-1,-0.883235
0,-0.9798,-0.6,-0.8,-0.561007
0,-0.977999,-0.6,-0.6,-0.831741
0,-0.986583,-0.6,-0.4,-0.931322
0,-0.989923,-0.6,-0.2,-0.957856
0,-0.992231,-0.6,0,-0.99182
0,-0.994686,-0.6,0.2,-1.011387
0,-0.99701,-0.6,0.4,-1.020557
0,-0.997822,-0.6,0.6,-1.020249
0,-0.997733,-0.6,0.8,-1.096028
0,-0.99833,-0.6,1,-1.027384
0,-0.998281,-0.4,-1,-0.971654
0,-0.987486,-0.4,-0.8,-0.741356
0,-0.983006,-0.4,-0.6,-0.839099
0,-0.987202,-0.4,-0.4,-0.976016
0,-0.992755,-0.4,-0.2,-0.98504
0,-0.993494,-0.4,0,-0.992733
0,-0.994177,-0.4,0.2,-0.995319
0,-0.995044,-0.4,0.4,-1.024506
0,-0.997288,-0.4,0.6,-1.004387
0,-0.996973,-0.4,0.8,-1.011183
0,-0.997695,-0.4,1,-1.065419
0,-0.998284,-0.2,-1,-0.995925
0,-0.993013,-0.2,-0.8,-0.950251
0,-0.991154,-0.2,-0.6,-0.950099
0,-0.991542,-0.2,-0.4,-0.975508
0,-0.992695,-0.2,-0.2,-0.987223
0,-0.993956,-0.2,0,-0.993365
0,-0.994608,-0.2,0.2,-0.995201
0,-0.995322,-0.2,0.4,-1.006872
0,-0.996493,-0.2,0.6,-1.008021
0,-0.996849,-0.2,0.8,-1.011519
0,-0.996991,-0.2,1,-1.01942
0,-0.997584,0,-1,-0.99772
0,-0.994763,0,-0.8,-0.994532
0,-0.994479,0,-0.6,-0.994311
0,-0.994866,0,-0.4,-0.994644
0,-0.994536,0,-0.2,-0.994542
0,-0.995167,0,0,-0.994799
0,-0.994644,0,0.2,-0.994695
0,-0.994645,0,0.4,-0.99471
0,-0.994614,0,0.6,-0.994659
0,-0.994741,0,0.8,-0.995032
0,-0.994592,0,1,-0.994146
0,-0.994741,0.2,-1,0
0,-1.004771,0.2,-0.8,-1.825034
0,-0.998449,0.2,-0.6,-1.244
0,-0.998105,0.2,-0.4,-1.108542
0,-0.997305,0.2,-0.2,-1.011049
0,-0.996293,0.2,0,-0.997526
0,-0.994789,0.2,0.2,-0.987782
0,-0.993685,0.2,0.4,-0.97556
0,-0.992649,0.2,0.6,-0.954873
0,-0.991734,0.2,0.8,-0.941303
0,-0.990938,0.2,1,-0.872912
0,-0.988173,0.4,-1,-1.810902
0,-1.003457,0.4,-0.8,-1.1492
0,-0.998447,0.4,-0.6,-1.039875
0,-0.997909,0.4,-0.4,-1.004588
0,-0.996732,0.4,-0.2,-1.001335
0,-0.996146,0.4,0,-0.997839
0,-0.994635,0.4,0.2,-0.962793
0,-0.992204,0.4,0.4,-0.918751
0,-0.990143,0.4,0.6,-0.964559
0,-0.990599,0.4,0.8,-0.670203
0,-0.981434,0.4,1,-0.685314
0,-0.980147,0.6,-1,-1.043524
0,-0.997697,0.6,-0.8,-1.054486
0,-0.998173,0.6,-0.6,-1.057466
0,-0.99824,0.6,-0.4,-1.107115
0,-0.998,0.6,-0.2,-1.010137
0,-0.996313,0.6,0,-0.997866
0,-0.994761,0.6,0.2,-0.986079
0,-0.99302,0.6,0.4,-0.939499
0,-0.990305,0.6,0.6,-0.700598
0,-0.983435,0.6,0.8,-0.666365
0,-0.980993,0.6,1,-0.877745
0,-0.984405,0.8,-1,-1.026055
0,-0.998675,0.8,-0.8,-1.130204
0,-0.998446,0.8,-0.6,-1.245967
0,-0.998275,0.8,-0.4,-1.085481
0,-0.997757,0.8,-0.2,-1.008687
0,-0.996282,0.8,0,-0.99796
0,-0.994685,0.8,0.2,-0.943759
0,-0.991962,0.8,0.4,-0.921602
0,-0.989999,0.8,0.6,-0.801969
